location,listing_count,avg_price_egp,avg_price_per_sqm_egp,min_price_egp,max_price_egp
DISTRICT 5 MARAKEZ NEW CAIRO,1,13000000.0,103174.6,13000000.0,13000000.0
Suez Road - First Settlement - Swan Lake Compound”,1,17600000.0,99435.03,17600000.0,17600000.0
Fifth Square Compound from Al-Marasim,1,17200000.0,91978.61,17200000.0,17200000.0
Giza,1,18000000.0,91836.73,18000000.0,18000000.0
prime location open view direct,1,14600000.0,84883.72,14600000.0,14600000.0
Fifth Square New Cairo,1,13594000.0,79964.71,13594000.0,13594000.0
the,1,10000000.0,66666.67,10000000.0,10000000.0
Suez,1,11000000.0,61111.11,11000000.0,11000000.0
MOUNTAIN VIEW NEW CAIRO,1,8500000.0,54838.71,8500000.0,8500000.0
Al Rehab,1,13500000.0,54000.0,13500000.0,13500000.0
Galleria Moon Valley,1,8500000.0,52795.03,8500000.0,8500000.0
the Heart of New Cairo,1,6434000.0,48375.94,6434000.0,6434000.0
O west,1,6500000.0,44827.59,6500000.0,6500000.0
very,1,4700000.0,42727.27,4700000.0,4700000.0
Ready Duplex,1,6400000.0,34594.59,6400000.0,6400000.0
Mountain View iCity October the lake phase,1,5000000.0,30303.03,5000000.0,5000000.0
R7,1,5083000.0,29900.0,5083000.0,5083000.0
"Al koronfel 1, directly from the owner, immediate delivery, opposite Al Marasem Compound.",1,6800000.0,29565.22,6800000.0,6800000.0
